LSC_usage,Blast_Usage_1
GAS5,SIRPG
IFI6,AP001439.1
VIM,TRBV27
TIMP1,KRT73-AS1
SNHG29,IFITM1
LUM,SH2D1A
CAVIN2,LINC01550
LAPTM4B,AC233976.1
EEF1A1,IL32
GSTM3,LINC02325
FXYD5,PCED1B-AS1
NENF,TNIP3
ZFP36,LTB
EEF2,TRAV23DV6
CLIC1,FLT3LG
SNHG6,CAMK2N1
MAP1LC3B,TRAV26-1
EEF1B2,SUSD4
ALDOA,AC010609.1
MPIG6B,CD3D
FAU,TRAV12-3
TOMM20,BCL11B
PNRC1,ITK
H3F3A,TRAV6
PIM1,KLF6
JUND,TRAV17
ATP5MC2,METTL11B
PRDX6,CD3E
TAGLN2,LINC02295
B2M,AC093512.1
EIF1,IFNG
RAC2,CD247
CIRBP,MCAM
OST4,MAL
SNHG7,TRAV8-3
UQCRH,AC020741.1
BEX3,LINC00861
AC123912.4,CAMK4
VAMP5,TRBV24-1
SLC40A1,TRBV18
ZFAS1,IL7R
DAD1,TRBV7-6
HYAL3,ARL4C
EID1,CD52
HOXB2,PDGFB
BTF3,AC114930.1
EBPL,CD27
EIF3F,LIME1
ARF1,ITM2A
CPPED1,CD3G
NACA,LINC01259
LAMTOR5,PI16
LAMTOR1,ADGRE5
C2orf88,AL139022.2
TALDO1,AC026689.1
LAPTM4A,AC002480.2
SPINT2,BTG1
JUN,SNTG2
RAB37,AC087741.1
GAPDH,AC009041.1
SNHG8,TRAV30
DDOST,LINC00567
SSR2,AC018647.1
LY6E,AC110014.1
C1orf43,MCF2L-AS1
RHAG,TSC22D3
GABARAPL2,TRAV13-1
COX5B,HCAR1
FTH1,AL391987.2
CKB,TMSB10
IL1B,AC005803.1
LIMD2,LINC02492
HIST2H2AA4,TRBV11-1
VDAC2,AL109930.1
ARL6IP5,OR52N4
TSC22D1,TCF7
TUBA1C,RNF212
CTSW,TRBV9
COX6B1,PTPRCAP
IFI27,LTA
TMEM9,DUSP2
SOX4,TRBC2
GABARAP,AL163932.1
TEX14,ZNF215
CCNI,LCK
CALR,AC093390.2
SLC39A3,AP000894.4
GYPC,AL133475.1
RHOC,NEFL
RAB4A,IATPR
APH1A,AC004771.1
AC012447.1,AC005523.1
CST3,GIMAP7
WBP2,AC009041.2
SUMO2,ANKRD65
TM4SF1,FAM226B
CUTA,MKRN3
ARPC3,AL591926.2
CD24,SPOCK2
PDLIM1,ETS1
