LSC_usage,Blast_Usage_1,Blast_Usage_2,Blast_Usage_3
AUTS2,EEF1A1,AZU1,UBE2C
MSI2,B2M,MPO,KHDC1L
TOX,RACK1,ELANE,MKI67
RUNX1,ACTB,CTSG,HIST1H3G
ETV6,TPT1,SRGN,TOP2A
SSBP2,NACA,ACSM3,TPX2
FOXP1,ACTG1,RNASE2,HIST1H3B
ARID1B,TMSB4X,PRTN3,HIST1H4C
CASC15,FAU,CFD,CCNA2
ATP8B4,NME2,LYST,HMGB2
NAV3,BTF3,FNDC3B,DLGAP5
ZBTB20,SNHG29,LYZ,AURKB
XYLT1,H3F3A,TENT5A,CENPF
ELMO1,TMSB10,NOCT,CCNB2
JARID2,CLIC1,MNDA,TYMS
PLCB1,EEF1B2,EMILIN2,BIRC5
LRMDA,GAPDH,ZEB2,KIF20A
SIK3,TAGLN2,APLP2,TROAP
MIR181A1HG,CD99,RNASE3,KIF4A
FGF13,PPIA,AFF2,KIF23
ZFAND3,HINT1,PLEK,KIF11
MED13L,FTH1,CSF3R,SPC24
GNAQ,UBB,DMXL2,CDCA2
MEIS1,CFL1,LINC01107,ASPM
LDLRAD4,EIF1,MS4A3,NCAPG
SLC24A3,PTMA,CALR,RRM2
NEGR1,PNRC1,CEBPD,PCLAF
AL589693.1,DUSP1,LINC02147,NUSAP1
CHST11,PFN1,IRS2,HIST1H3F
KMT2C,HLA-B,PROK2,NEK2
FTX,ATP5MC2,TRERF1,FOXM1
WWOX,SERF2,F13A1,HIST1H1B
TCF12,FTL,LRMDA,HMGN2
DPYD,MIF,GPI,HIST1H2AJ
FOXN3,SH3BGRL3,P4HB,TK1
PRKCB,UBC,RFX8,TUBA1B
EXOC4,HSP90AB1,CHSY1,SPC25
SMYD3,GSTP1,MCTP1,CENPE
RERE,SRP14,KANK1,PLK1
IGF2BP2,HNRNPA1,CPD,HIST1H3C
RAPGEF4,ATP5F1E,RAB32,CDCA8
ARHGAP15,JUND,ACSM1,ANLN
PAN3,EEF2,HAL,DEPDC1
TIAM1,EEF1G,HMGB2,KIF15
CUX1,ARPC3,DOCK5,CDK1
ZMIZ1,PRSS57,BTG1,KIFC1
PTEN,PFDN5,DENND3,EXO1
CELF2,H3F3B,LINC01619,DIAPH3
SPTBN1,ATP5MG,AP5B1,KIF2C
DOCK2,CHCHD2,UBAP1,H2AFZ
CDKAL1,NDUFA4,SUCNR1,ASF1B
SFMBT2,VIM,CDK14,CENPM
KDM6A,HSPA8,RNF10,HJURP
KANSL1,UBA52,LIN7A,SNCA-AS1
SPAG9,MYL12A,P2RY8,HMMR
ANKRD11,GAS5,HELLS,GTSE1
ZEB1,RAC2,MSRB3,CDC20
AFF1,COX7C,MXD1,PTTG1
MAML3,PSME1,AAK1,CDCA3
ESYT2,IFI6,DIAPH3,PKMYT1
DYRK1A,GABARAP,NFAT5,HMGB1
RABGAP1L,HLA-C,SLC22A4,RDM1
LNCAROD,DAD1,MIR100HG,IQGAP3
TRPS1,HNRNPA0,ERLIN1,SPAG5
HDAC9,JUN,SLC25A37,KIF18B
OSBPL9,MYL6,CDA,CDCA5
MACF1,RNASEK,MED13L,KIF14
ATP2C1,COMMD6,TXNIP,AC027627.1
UTRN,ALDOA,BRIP1,DUT
IMMP2L,GNG5,NEAT1,UHRF1
RNF220,HLA-A,DENND1A,TUBB
AFF3,IER2,ZFAND5,STMN1
BCAS3,SUMO2,IGFBP2,CDKN3
TNRC6B,TALDO1,CTNNAL1,CKAP2L
ABCC1,ARHGDIB,MTUS2,MND1
SERINC5,SNHG6,UHRF1,RAD51AP1
TAOK3,PPDPF,PSMB7,NDC80
INPP5D,TMA7,CERS6,DHFR
LPP,LDHB,PLPPR3,CDC45
IGF1R,OST4,FOSL2,PCNA
CDC42SE2,S100A4,AGTRAP,E2F8
MAMDC2,SLC25A5,AC020656.1,PIMREG
BACH2,SLC25A6,ST3GAL6,E2F7
UBE2H,AIF1,AL163541.1,KNL1
LTBP1,EMP3,TFRC,CENPW
TBL1XR1,TUBA1A,NCOA4,MYBL2
BTBD11,TXN,NETO1,HIST1H2AI
LRBA,COX4I1,NDRG1,MAD2L1
TRAPPC9,SNRPD2,CEBPE,UBE2T
CCDC85A,DYNLL1,OSBPL5,DEPDC1B
TBC1D5,JUNB,MT-ND4,MCM10
DNAJB6,FOS,RRM2,SKA3
TCF7L2,IFITM1,NAMPT,ESPL1
SCMH1,LY6E,SNTB1,NEIL3
RAPGEF2,COX7A2,MT-ATP6,POLQ
DOCK8,COX6A1,CITED2,AL596442.1
FHIT,APRT,MGST1,AP000654.1
FAM172A,MYL12B,PXK,AC245427.1
VTI1A,KLF6,ATAD2,ERFE
VPS13B,SNHG8,HGF,TTK
