LSC_usage,Blast_Usage_1,Blast_Usage_2
TSC22D3,CFD,TYMS
KLF6,AZU1,PCLAF
KLF2,GAPDH,TK1
JUN,MPO,MIR924HG
TEX14,SNHG29,DIAPH3
H3F3B,EEF1B2,TUBA1B
AC253572.2,ACTG1,STMN1
JUND,SRGN,HELLS
AC245014.3,HNRNPA1,CENPM
RHOA,EEF1A1,CENPU
AC016735.1,RACK1,BRIP1
ADGRE5,EEF1G,PKMYT1
AC007952.4,NPM1,MYBL2
AREG,BTF3,POLQ
ZFP36L2,SLC25A6,RAD51AP1
RHOB,PRSS57,DUT
LINC00910,TPT1,PCNA
CCDC200,EEF2,GINS2
MALAT1,NACA,CDC45
H1FX,NME2,RRM2
CXCL8,UBA52,CDCA5
FTH1,PPIA,TUBB
UBC,PRTN3,H2AFZ
ST3GAL1,LDHB,ZWINT
PMAIP1,FAU,MCM4
WDR74,HLA-B,CLSPN
STK17B,CALR,RAD51
AC020911.2,PFN1,NASP
ZFP36,ATP5MC2,APOBEC3B
AC087239.1,GIHCG,E2F1
ATF3,GAS5,UHRF1
EIF1,PTMA,SHCBP1
DUSP1,CLEC11A,MCM7
FLT3,PFDN5,CENPK
YWHAH,HSP90AB1,NCAPH
LINC00623,ACTB,DTL
SLC2A3,FTL,NCAPG
CD69,IGLL1,CDT1
HIST1H1C,SLC25A5,KIFC1
GLUL,RBM3,ASF1B
C12orf57,EIF3F,FEN1
PPP1R16B,C1QTNF4,HMGB2
AC103591.3,SERPINB1,DNMT1
SAT1,EIF4A1,CDC6
HIST1H2BC,HMGA1,MCM5
BTG2,HINT1,HMGN2
CROCC,IMPDH2,DHFR
JUNB,COX4I1,FANCI
SARAF,RAB32,SPC25
AC012447.1,TKT,ZGRF1
Z93241.1,CYBA,WDR76
PNRC1,OAZ1,IGFBP2
SMIM3,CTSG,ERVMER61-1
LAPTM5,CFL1,CHAF1A
TRBC2,ARPC3,IQGAP3
PPP1R10,EIF3K,HMGB1
MEF2C,CPA3,MCM2
CIRBP,H3F3A,ZNF367
AC008569.1,GSTP1,ORC6
AL158071.3,HLA-A,ATAD5
IER2,ELANE,MELK
SPINK2,TPI1,BRCA1
TUBB4B,COX5A,CENPP
MYOSLID,MGST1,UNG
PRSS2,CHCHD2,TOP2A
TMEM107,MIF,KIF15
AL021155.5,VAMP8,MCM10
MAP1LC3B,CLIC1,LIG1
H1F0,CLU,GGH
TCTA,PHB2,NCAPG2
HOPX,ARPC1B,TMEM106C
B2M,C1QBP,MND1
SERPINB9,ATP5MC3,CHEK1
TUBA1A,RNASE2,EXO1
YPEL5,HIST1H1E,MCM6
TMEM140,COX7C,UBE2T
FAM30A,TMSB4X,MCM3
RBM38,HIGD2A,Z94721.1
SLC37A1,UQCRH,BIRC5
KLF7,VIM,TCF19
PER1,ATP5MG,POLE2
LAPTM4A,SNHG8,SKA3
FTL,EIF3E,ANLN
HLA-E,SERF2,RAD54L
HNRNPA0,EIF3L,CENPH
NEAT1,PPIB,MASTL
SOX4,ZFAS1,DEK
SPON1,UQCRB,ATAD2
TSC22D1,SH3BGRL3,AC068587.4
CST3,PNRC1,RRM1
PPP1R15A,ATP5F1A,CDK1
SKIL,ERP29,PSMC3IP
MAP3K8,COX6B1,CCNA2
INAFM2,APRT,DERL3
ADGRG6,PABPC1,TIMELESS
AC008105.3,HLA-DRA,FOXM1
H2AFY,APEX1,DAND5
HIST2H2AC,ENO1,KIF4A
CYTIP,EEF1D,E2F8
ZNF385D,NAP1L1,PRKDC
