LSC_usage,Blast_Usage_1,Blast_Usage_2
NOVA2,RAN,IFIT2
IGHV3-23,PTMA,PMAIP1
AL591721.1,NPM1,IFIT3
LPL,H2AFZ,IFNB1
AC016027.3,HMGN2,CITED2
AC116609.3,STMN1,CCL5
GALNT15,HSPD1,IFIH1
LYZL4,MIF,CCL4L2
ZYG11A,TUBA1B,CCL3L1
SMIM18,PPIA,ISG15
IGKV2-30,HMGB1,IFIT1
DNAH8,GAPDH,CCL3
CHST11,HNRNPA1,ZC3HAV1
MTUS2,GSTP1,CCL4
NFKB1,CALR,NCOA7
ZFAND3,PRSS57,PELI1
MSI2,NME1,RHOB
ARHGEF7,ATP5MC3,CXCL10
AUTS2,LDHB,HERC5
VAV3,TPI1,SQOR
LRRFIP1,RANBP1,OAS2
KMT2C,PCLAF,LIPA
LRMDA,SLC25A5,IFI44
ATP2C1,HMGA1,DDX58
GNAQ,TYMS,SEMA3A
CELF2,HSPA5,KLF6
RUNX1,HSP90AA1,HLA-DRA
SIK3,VAMP8,B3GNT2
LYN,TUBB,RNF149
PLCB1,NCL,B3GNT5
RYBP,CHCHD2,B2M
ELMO1,HSP90AB1,GBP4
CDC42SE2,PFN1,AC015849.1
MED13L,IGLL1,LDLRAD4
DNAJC1,IGFBP2,PARP14
DYRK1A,C1QBP,ETV3
FNDC3B,COX6A1,HERC6
JARID2,PPIB,REV3L
TRAF3,COX8A,CALHM6
TAOK3,NME2,DDX60
KDM6A,SET,CXCL11
EBF1,YBX1,IFNL1
CDK6,ATP5MC2,UBE2E1
TRIM24,PRDX1,ATF3
ITSN2,COX7C,TMSB10
CAMK1D,ATP5F1B,RIPK2
DENND4A,CDK4,ACSL3
KSR1,NAA38,CH25H
ANKRD11,PDIA6,SELENOK
LRBA,ENO1,ZNFX1
INPP4B,ACTB,TLCD3A
ITPR2,ATP5F1A,CYSLTR1
PDE4D,PTGES3,TTC39B
FHIT,CFL1,AC007785.1
PAN3,HSBP1,PTGS2
CLIP2,NDUFAB1,RHEBL1
ARHGAP15,PEBP1,RACK1
EXOC4,HSPE1,GABARAP
ACSL1,UQCRH,STX11
INPP5A,SNRPD1,OASL
GALNT7,SNRPF,CXCR4
TANK,BANF1,TPT1
MYH9,SRP9,SCARB2
ATP8B4,ATP5MF,EEF1A1
SLC45A4,COX5A,MEF2C
IGF2BP2,MRPL11,TFPI
PSME4,LSM4,GAS5
GAK,ERH,SGMS1
CABLES1,COX6C,SNHG29
LCOR,NME4,OAS3
TCF12,ANP32B,AC100849.1
NIN,HMGB2,EIF3E
PPP1R16B,MGST1,DUSP2
XIST,SNRPE,TNFAIP3
PBX3,GNG5,GBP5
CUX1,ATP5MC1,HLA-DPA1
FOXP1,UQCRQ,NACA
ABCC1,MRPL51,AL450332.1
MCTP1,SUMO2,ACTG1
SKI,BTF3,FXYD5
SUSD6,MDH2,VIM
RAP1A,COX6B1,FAU
AGO2,APEX1,ALOX5
PPP6R3,MZT2B,BTF3
ESYT2,TUFM,PSMA3
AKAP13,DCTPP1,CD52
ARID4B,DDOST,ANXA1
USP9X,ARHGDIB,CD74
BRAF,PA2G4,ATF5
SMYD3,TOMM22,EEF2
NFAT5,UQCR10,ICAM3
BIRC6,IMPDH2,USP18
ARID1B,SPINK2,CD63
GNB1,NDUFA4,HEATR9
DNAJB6,ATP5F1C,HLA-A
PTPRC,ABRACL,MEGF9
LATS2,CENPF,PLEK
ERBIN,PSMA2,MX2
NCOA3,NDUFB11,ORAI2
RALGAPA2,CLEC11A,CD99
