LSC_usage,Blast_Usage_1,Blast_Usage_2
NKAIN2,EEF1A1,ASPM
RYR3,IFI6,UBE2C
ARHGAP15,FTL,TOP2A
ELMO1,H3F3A,AURKB
CASC15,FTH1,CENPF
ARL15,B2M,TPX2
ANGPT1,GAPDH,HMGB2
RUNX1,HLA-B,MKI67
GNAQ,TPT1,NUSAP1
MSI2,EEF1B2,HIST1H4C
ZFAND3,FAU,CDKN3
MED12L,TIMP1,CDCA8
RAPGEF2,HLA-A,GTSE1
SPTBN1,FXYD5,CDCA3
LRMDA,ATP5MC2,BIRC5
NRIP1,NACA,CKAP2L
FREM1,CLIC1,CDC20
MECOM,TAGLN2,PLK1
AUTS2,SERF2,CCNB2
ARID1B,PTMA,TUBA1B
IGF2BP2,BTF3,CDK1
RNF220,LY6E,CCNB1
COP1,PFN1,KIF20A
GALNTL6,EIF1,FAM72B
SIK3,PRDX6,CKS1B
LRBA,SNHG29,KIFC1
PDZRN4,HLA-C,TROAP
KMT2C,CLEC11A,NEK2
SMYD3,NENF,KIF23
MAML3,ACTB,DEPDC1
RABGAP1L,LAPTM4B,KIF15
EXOC4,EEF2,CENPE
PARD3B,EEF1G,CENPA
JMJD1C,ALDOA,NUF2
LINC01500,CHCHD2,DLGAP5
KIAA1211,CFL1,HJURP
ZNF804A,UBA52,HMGN2
JARID2,SPINT2,CDCA2
PLXDC2,SRP14,MAD2L1
PHACTR3,SELENOH,TUBB4B
ETV6,PNRC1,PTTG1
MIR181A1HG,SUMO2,CCNA2
STXBP5,RNASEK,KIF2C
XACT,GABARAP,TYMS
AFF1,HSP90AB1,ARL6IP1
DPP10,TALDO1,TUBB
MED13L,JUND,HMMR
TCF12,TPM3,UBE2T
TBC1D5,COX5B,NDC80
PBX1,RAC2,UBE2S
MBD5,CD63,OIP5
CNTNAP2,CTSW,PSRC1
GRB10,PIM1,RACGAP1
KDM6A,LSM7,PRC1
FOXO3,MYL6,STMN1
PTK2,RACK1,SAPCD2
ARID4B,SH3BGRL3,AURKA
AC087857.1,SSR4,ARHGEF39
LINC01876,SRGN,PIMREG
ABCC4,ATP5F1E,NUCKS1
AC069277.1,UBC,KIF14
FOXN3,NDUFA13,KNL1
UTY,TMA7,BUB1
PIEZO2,CENPW,GAS2L3
VPS13B,GAS5,NCAPH
HERC1,HNRNPA1,NCAPG
TBL1XR1,ARPC3,SGO1
SLC24A3,SRP9,TK1
BMP2K,VIM,KIF4A
LYN,TLE5,H2AFZ
ST6GALNAC5,DAD1,SPC25
FOXP1,COX4I1,DTYMK
ZEB2,KRTCAP2,H2AFX
PICALM,MYL4,APOBEC3B
SLC39A11,EID1,PIF1
IMMP2L,OAZ1,RRM2
STAG1,CYBA,PKMYT1
TNIK,PSAP,CENPM
DOCK1,TMEM14C,PCLAF
CDC73,CST3,HMGB1
TOX,LDHB,KIF11
PPM1H,CNBP,CDCA5
ZBTB20,MIF,KPNA2
KIF13A,SERPING1,RTKN2
NLK,COX6B1,NCAPD2
AL138720.1,NDUFA4,HIST1H3B
RERE,S100A4,ZWINT
DNM3,ATP5MC3,CKS2
PRKCA,GSTP1,CEP55
ASAP1,SOD1,SGO2
MAP3K5,OST4,RAD51AP1
C1orf21,TPI1,KIF22
CDC14A,ENO1,TTK
ZBTB16,JUN,SPAG5
OSBPL9,CDK2AP1,CKAP2
CPQ,ATP6V1G1,GGH
CDC42BPA,PPIA,FOXM1
SLC9A9,BEX3,KNSTRN
PRKN,COX6A1,ESPL1
TCF4,WDR83OS,ANLN
