LSC_usage,Blast_Usage_1,Blast_Usage_2
MIR181A1HG,ELANE,UBE2C
ARHGAP15,MPO,PLK1
CELF2,AZU1,TOP2A
FOXP1,PRTN3,MKI67
RUNX1,NPW,HIST1H4C
ELMO1,CFD,CDCA3
AL589693.1,CST7,AURKB
GNAQ,FABP5,BIRC5
FNDC3B,MIF,NUSAP1
JARID2,RANBP1,TPX2
ZFAND3,GSTP1,HMGB2
VAV3,TPI1,CDC20
MAN1A1,YBX1,TUBA1B
ARID1B,NME1,PTTG1
KCNQ5,TXN,TYMS
RNF220,MCM7,CCNA2
TCF12,ENO1,KIF20A
PLCB1,RAN,DLGAP5
KMT2C,SRM,CENPF
CDK6,GINS2,TUBB
TBC1D5,H2AFZ,CDKN3
JMJD1C,IGFBP2,HMGN2
PTEN,HSPE1,CCNB2
MED13L,NME2,H2AFZ
NEAT1,ATP5MC3,CCNB1
ARID4B,CALR,RRM2
LYN,TUBA1B,CKS1B
ZEB2,C1QBP,KIFC1
SMYD3,DNPH1,CDCA8
PTPRC,MGST1,KIF4A
TRIO,EIF4EBP1,HMGB1
MBNL1,TOMM5,HMMR
UTRN,PDIA6,HJURP
LRMDA,PLPPR3,TK1
KDM6A,EIF5A,PCLAF
EXOC4,DUT,ASPM
MAML3,PA2G4,CENPA
CHST11,MCM5,TROAP
MARCH6,MCM3,PKMYT1
CDK14,P4HB,CKAP2L
ELF1,UNG,STMN1
PHLPP1,CHCHD2,FOXM1
TBL1XR1,PFN1,GTSE1
IMMP2L,DCTPP1,MYBL2
LINC02506,CDK4,CDK1
CERS6,ATP5MC1,CENPM
CDC42SE2,ERH,CDCA2
PDE3B,GPI,HIST1H3B
ZNF804A,TYMS,APOBEC3B
DISC1,PCNA,RAD51AP1
ITPR2,GAPDH,SPC25
FHIT,NME4,TUBB4B
SSH2,MICOS10,KIF11
MCTP2,NDUFB2,KIF2C
MSI2,NCL,CEP55
ETV6,PPA1,MND1
TOX,LAPTM4B,DEPDC1
VTI1A,GCSH,CDCA5
MACF1,CENPW,DUT
ESYT2,MCM4,ARL6IP1
NFAT5,NHP2,NCAPH
LRBA,PGAM1,KIF15
PAN3,MNDA,ASF1B
PTBP2,NASP,HIST1H3C
SIK3,FEN1,CENPW
IGF2BP2,SNRPD1,NCAPG
THSD7A,HGF,NUF2
QKI,RAC3,GGH
RIPOR2,CLSPN,UBE2T
CHD1,UQCRQ,DIAPH3
ARIH1,MRPL33,KIF23
CDKAL1,RNASE2,CENPE
UBASH3B,CST3,CENPU
SPAG9,MCM6,RTKN2
PELI2,PPIB,HIST1H1B
IKZF1,PDCD5,SKA3
DYRK1A,PKM,MAD2L1
RUNX2,CLEC11A,LMNB1
CUX1,HINT1,NCAPD2
UBE2H,CDC45,KIF14
CCNL1,PRSS21,ZWINT
AKAP13,SERPINA1,TUBA1C
IRAK3,VDAC1,SPAG5
DPYD,UBL5,CDT1
RERE,GAL,KIF22
ARID2,SNRPB,DHFR
AC008014.1,UQCR11,PIMREG
AUTS2,PEBP1,NEK2
SPTBN1,BOLA3,PSRC1
FOXO3,NDUFS5,RACGAP1
WWOX,ATP5MF,ANLN
TAPT1,BSG,NDC80
RUNX1T1,CD320,H2AFX
NIPBL,EEF1B2,NCAPG2
TAOK3,NOLC1,CENPN
BBX,SERF2,CKS2
LPP,PTMA,CLSPN
SMARCA2,PGK1,SPC24
PPP3CA,TFDP1,SGO1
BIRC6,FBL,SMC2
