LSC_usage,Blast_Usage_1,Blast_Usage_2
KDM6A,EEF1A1,HMGB2
CACNB2,TPT1,NUSAP1
RUNX1,RHOB,UBE2C
LINGO2,JUNB,TPX2
KMT2C,IER2,TUBA1B
ZFAND3,EEF2,PLK1
MED12L,ZFP36,CDCA8
JARID2,RACK1,CCNB1
HPSE2,PNRC1,TUBB
GNAQ,HSP90AB1,ASPM
SSBP2,UBC,CCNA2
AUTS2,JUN,HMMR
MIR181A1HG,NACA,TOP2A
IGF2BP2,FAU,DLGAP5
MED13L,TSC22D3,CKAP2L
PBX1,BTG2,CDC20
VAV3,SNHG29,CCNB2
ESYT2,TMSB4X,STMN1
CTNND2,CD69,MKI67
CHST11,HIST2H2AA4,CENPA
KIAA1217,KCNK9,TUBB4B
ARL15,LDHB,HIST1H4C
DYRK1A,BST2,CENPF
XIST,HIST1H1C,PTTG1
ARIH1,KLF6,KIF20A
NEAT1,TMSB10,ARL6IP1
UBE2H,LTC4S,HMGB1
NCAM1,KLF2,H2AFZ
STT3B,CLIC1,KIFC1
ATP2C1,IMPDH2,CENPW
SMAD3,PPP1R15A,TYMS
JMJD1C,EEF1G,CDK1
ELL2,ATP5MC2,TROAP
TBL1XR1,EIF1,CDKN3
FOXO3,UBA52,HMGN2
AKAP13,H3F3B,AURKB
SMURF1,JUND,BIRC5
PDE3B,PFN1,KIF23
PHLPP1,GAPDH,CKS1B
OSBPL8,PTMA,UBE2T
CDC42SE2,FTL,TACC3
PTBP2,UQCRH,UBE2S
MARCH6,SH3BGRL3,AURKA
UBR5,H3F3A,PRC1
LYN,EEF1B2,CEP55
MEF2A,HIST1H2AC,MAD2L1
NFATC3,ATP5F1E,GTSE1
ZEB1,GAS5,DEPDC1
OSBPL3,PFDN5,HJURP
ARID1B,HSPA5,CALM2
ZFAND6,NPM1,RACGAP1
DENND4A,CLEC11A,FOXM1
PSME4,BTF3,RRM2
LRRFIP1,ARHGDIB,CDCA3
SPAG9,UQCRB,TK1
ZEB2,HNRNPA1,NUF2
TLE4,IGFBP7,MXD3
ATP11B,CITED2,PCLAF
SMYD3,ACTB,LMNB1
VCL,COX4I1,KNL1
FBXO34,SOX4,CENPE
CTBP2,H2AFY,KIF22
WWOX,ATP5MG,TMPO
RAB8B,CCN2,HIST1H1B
CTNNA3,HIST1H2BC,HIST1H2AI
SIK3,SERPINB1,PSRC1
ARID4B,SLC25A6,SPAG5
PAN3,SERF2,KIF4A
PTEN,LAPTM5,HIST1H3G
ANKRD28,NFKBIA,CDCA5
ARHGEF12,ARPC3,MYBL2
QKI,HSPB1,SGO1
NLK,FTH1,KIF18B
COL6A6,CST3,KIF11
TCF12,HIST1H1E,HIST1H3B
MSI2,ZFP36L1,NCAPH
RORA,RNASEK,ZWINT
MAN2A1,ZFP36L2,NCAPG
USP9X,CFL1,KIF2C
PRKCA,ACTG1,RAD51AP1
BMP2K,SPINK2,CDCA2
LINC02267,HIST1H1D,CKAP2
CHD1,FCER1G,PKMYT1
LDLRAD4,YBX1,SPC25
PELI2,CKS2,GAS2L3
PHACTR1,MYL6,CENPU
MBNL1,TIMP1,BUB1
SLC39A11,CTSW,FAM83D
FNDC3B,PABPC1,NUCKS1
TCF7L2,PNP,GGH
NFAT5,OAZ1,FBXO5
ELOVL5,DUSP1,KNSTRN
CHD2,CALR,RTKN2
RNF38,PLEK,CDC25B
CERS6,HSP90AA1,APOBEC3B
MAML3,PPIA,PCNA
FBXW7,CHCHD2,KIF15
FOXJ3,PTGER4,IGLL1
MID1,COX7C,ARHGAP11A
FIGN,H1FX,MND1
