LSC_usage,Blast_Usage_1,Blast_Usage_2
AL589693.1,SH3BGRL3,NPW
UBASH3B,KLF2,H2AFZ
MAN1A1,TMSB10,IGLL1
MIR181A1HG,ACTG1,TUBA1B
VAV3,TSC22D3,HMGN2
ELMO1,KLF6,TYMS
CHST11,H3F3B,HMGA1
PTEN,UBC,RAN
NEAT1,FTL,HIST1H4C
ATP2C1,HLA-B,DUT
CELF2,TMSB4X,HSPD1
TBL1XR1,FTH1,PRSS57
TRIO,JUN,CALR
GNAQ,RACK1,TUBB
ARID1B,EEF1A1,STMN1
CDC42SE2,ACTB,NCL
PALM2-AKAP2,HLA-C,NPM1
BAALC,CLIC1,PCLAF
SFMBT2,PNRC1,C1QBP
SPTBN1,S100A10,TK1
PELI2,FAU,C1QTNF4
UBE2H,TXNIP,HMGB1
ZBTB16,NACA,PPIA
NBAS,B2M,MIF
MSI2,EIF1,NME2
ITGA9,PFDN5,ATP5MC3
ARID4B,S100A4,GSTP1
RNF220,ZFP36,HNRNPA1
JMJD1C,CD99,PDIA6
IKZF1,EEF2,UQCRH
KMT2C,DUSP1,DAD1
RUNX1,FXYD5,EEF1B2
AUTS2,RHOB,GINS2
ETV6,EMP3,PKMYT1
KDM4B,GABARAP,LDHA
ELF1,MYL6,SLC25A5
JARID2,TAGLN2,CCNB2
ARHGAP15,VIM,MPO
ACSM3,BTF3,PCNA
MCTP2,JUNB,RANBP1
MED13L,ANXA2,ATP5MC2
IGF2BP2,ALDOA,CENPM
AC125603.2,PTMA,LDHB
GRK5,CD69,TRH
CDK14,ARPC3,ERH
PTPRN2,TUBA1A,MT2A
ESYT2,ZFP36L2,PPIB
KCNQ5,CFL1,AURKB
SERINC5,PFN1,PRTN3
UBE2E2,GAPDH,YBX1
ABCC1,CYBA,UBL5
THSD7A,H3F3A,HSP90AB1
BCR,TPT1,NME1
SSH2,BTG1,PTMA
TCF12,HLA-A,TPI1
ZFAND3,CRIP1,FABP5
IMMP2L,MYL12A,CKS1B
KAT6A,H1FX,HIST1H3B
FHIT,CD74,GGH
LRMDA,ATP5F1E,HSP90AA1
RUNX2,NFKBIA,CENPW
TBL1X,HIST2H2AA4,NAP1L1
KLF7,DBI,ATP5F1B
RIPOR2,HLA-E,DHFR
CUX1,RNASEK,NUCB2
SMYD3,JUND,SNRPD1
PTBP2,EEF1B2,SNHG29
GNPTAB,GMFG,FKBP4
STT3B,HINT1,GAPDH
FOXO1,EEF1G,MDK
PSD3,COX4I1,CHCHD2
SMARCA2,HCST,UBA52
RTN4,HLA-DRA,PRDX3
ITPR2,CXCL8,MCM7
CDYL,SOX4,CDT1
CHD1,PLIN2,NASP
RB1CC1,SERF2,PA2G4
CDH4,UBB,NME4
TPK1,MYL12B,COX6A1
TNRC6B,COMMD6,TMEM106C
PAN3,TXN,UQCR10
DENND5A,UBA52,ATP5MF
SETD2,ANXA1,SNRPF
FOXP1,TPM3,UHRF1
EXOC4,CIRBP,SRM
MACF1,SNHG29,SIVA1
TAOK3,CD37,ATP5MC1
UTRN,HSP90AB1,IDH2
FLT3,CCNI,HSPE1
SLCO5A1,PPIA,UBE2T
DYRK1A,UQCRB,COX5A
KIF13B,GAS5,CKS2
KDM6A,ZFAS1,NDUFA4
LDLRAD4,ATP5MG,CLEC11A
SORL1,RHOG,DNPH1
PSME4,SRP14,GYPC
PRELID2,ARPC1B,MKI67
MARCH6,ATP5MC2,TOP2A
ELOVL5,SERPINB1,UQCRQ
ERG,ARHGDIB,APOBEC3B
