LSC_usage,Blast_Usage_1,Blast_Usage_2
ZFAND3,EEF1A1,SRGN
CHST11,NACA,CFD
ATP8B4,EEF1B2,RNASE2
CELF2,B2M,SERPINB1
JARID2,RACK1,S100A6
MALAT1,HSP90AB1,S100A10
ZEB2,EEF2,LYZ
MED13L,TPT1,RAB32
AKAP13,BTF3,GAPDH
ELMO1,NPM1,CTSG
MT-ND4L,H3F3A,PFN1
NEAT1,SPINK2,FTL
ARHGAP15,HSPA8,PTMA
RNF220,SNHG29,MGST1
SIK3,GAS5,MNDA
PLCB1,ACTG1,H2AFZ
CDC42SE2,FTH1,AZU1
LRMDA,HNRNPA1,CSTA
GNAQ,EIF1,TMSB10
FKBP5,HLA-DRA,CFL1
VAV3,PTPRCAP,OAZ1
FOXP1,HINT1,MRPL33
MAML3,IFITM2,TSPO
PAN3,FAU,ENO1
MT-ND3,SLC25A5,COTL1
KMT2C,FXYD5,CEBPD
MEIS1,RAC2,LGALS1
MT-CYB,SLC25A6,CLEC11A
MT-CO1,AIF1,VAMP8
LRRFIP1,CD74,NDUFB9
MT-ND5,PRDX1,GNG5
ARID1B,EEF1G,TUBA1B
MT-ND4,ATP5MC2,PPIA
PTPRC,HMGA1,PRSS57
MT-CO2,EIF3F,MIF
FNDC3B,HLA-DPB1,PKM
GAB2,SUMO2,TMSB4X
ANKRD28,PABPC1,TPI1
SMYD3,NME2,SERF2
MT-ATP8,HLA-DPA1,YBX1
LYN,HLA-B,AC020656.1
ANKRD12,CLIC1,COX8A
MBNL1,LDHB,NDUFS5
MT-ATP6,PPIA,CAT
PIK3R1,NDUFA4,STMN1
FTX,HOPX,GRN
MSI2,COX7C,PPIB
ELF1,UBA52,ACTB
TCF12,EIF3L,CHCHD2
VPS13B,ATP5MC3,AL355922.1
QKI,LDHA,NUCB2
JMJD1C,PCBP1,CRIP1
CYTH1,PSME1,HSP90AA1
MAP3K5,ARPC3,CALM1
UBE2E2,HLA-A,CYBA
DPYD,CCNI,ATP5MPL
NRG4,ITM2A,CST7
AFF1,JUND,MYL6
CDK6,ATP5F1C,RAN
ANGPT1,LSP1,AGTRAP
MIR181A1HG,TSC22D3,NME2
MT-ND2,COMMD6,AL031673.1
RUNX1,HLA-DRB1,KLK1
CPNE8,GAPDH,CISTR
ETV6,SH3BGRL3,MDK
TLE4,ATP5F1B,AL008733.1
ZFAND6,LY6E,AC009021.1
NCOA3,SRP14,AC139722.1
IGF2BP2,ALDOA,LINC01013
PARP8,CTSW,AL133240.1
EXOC4,PFDN5,AC104574.2
RREB1,GSTP1,CD63
DACH1,SMIM24,TXN
KDM6A,SLC25A3,AK2
OSBPL8,UQCRH,VIM
PICALM,CD37,PSMB3
DIAPH2,RTRAF,UQCR11
LATS2,GLIPR1,ATP5MF
ARIH1,IL2RG,COX6C
DENND4A,SNHG7,APLP2
BTBD9,PLP2,SEC61G
LRBA,PNRC1,MICOS10
DYRK1A,RAN,TOMM5
WDFY2,ABRACL,TOMM6
NCOA2,NFKBIA,TMEM258
RB1CC1,UBC,TALDO1
MT-ND6,CHCHD2,PRTN3
CD44,EIF3E,CLU
MEF2A,GDI2,HMGB2
ATP2B1,HSPD1,S100A4
RIPOR2,UXT,PSAP
BIRC6,UQCRB,HMGN2
ANKRD11,IGLL1,CENPW
SSBP2,EIF3K,C1QBP
TBC1D5,HCST,COX6A1
USP3,ACTB,UBA52
DENND1A,SNHG8,PYCARD
SSH2,COX4I1,PRR13
KCNQ5,ATP5PO,ATP5F1E
ZNF292,H3F3B,ARHGDIB
